Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
1,8,3,3,25,1,25.000000
2,4,2,1,35,1,35.000000
3,6,3,3,23,1,23.000000
4,4,2,2,23,1,23.000000
5,10,1,2,52,1,52.000000
6,6,2,2,44,1,44.000000
7,2,1,1,19,1,19.000000
8,1,0,0,25,1,25.000000
9,2,1,1,29,1,29.000000
10,3,1,1,14,1,14.000000
11,5,3,3,23,1,23.000000
12,2,0,1,26,1,26.000000
13,1,0,0,29,1,29.000000
14,4,1,1,13,1,13.000000
15,5,1,2,18,1,18.000000
16,2,1,2,23,1,23.000000
17,1,0,0,24,1,24.000000
18,6,2,3,41,1,41.000000
19,2,1,1,23,1,23.000000
20,7,3,2,24,1,24.000000
21,2,1,1,20,1,20.000000
22,3,1,0,20,1,20.000000
23,3,2,2,24,1,24.000000
24,5,3,3,19,1,19.000000
25,1,1,1,11,1,11.000000
26,6,2,1,40,1,40.000000
27,1,0,0,15,1,15.000000
28,9,3,3,25,1,25.000000
29,1,0,0,7,1,7.000000
30,5,1,2,16,1,16.000000
31,5,2,3,22,1,22.000000
32,6,2,2,26,1,26.000000
33,6,3,2,31,1,31.000000
34,6,2,2,38,1,38.000000
35,4,1,1,12,1,12.000000
36,1,1,1,12,1,12.000000
37,4,1,1,16,1,16.000000
38,7,2,3,24,1,24.000000
39,7,2,2,23,1,23.000000
40,4,3,3,17,1,17.000000
41,5,3,3,24,1,24.000000
42,2,1,1,28,1,28.000000
43,5,3,3,22,1,22.000000
44,9,2,3,29,1,29.000000
45,2,1,1,15,1,15.000000
46,1,0,0,19,1,19.000000
47,4,1,2,16,1,16.000000
48,4,1,2,13,1,13.000000
49,4,1,2,17,1,17.000000
50,5,2,2,17,1,17.000000
51,5,3,3,23,1,23.000000
52,3,1,0,8,1,8.000000
53,3,1,1,30,1,30.000000
54,5,2,2,19,1,19.000000
55,5,1,0,20,1,20.000000
56,5,2,2,48,1,48.000000
57,4,2,2,43,1,43.000000
58,1,1,1,18,1,18.000000
59,1,1,1,13,1,13.000000
60,2,0,0,31,1,31.000000
61,4,2,2,23,1,23.000000
62,3,1,1,26,1,26.000000
63,2,0,0,27,1,27.000000
64,3,0,0,44,1,44.000000
65,4,3,3,26,1,26.000000
66,5,3,3,26,1,26.000000
67,5,3,3,25,1,25.000000
68,5,2,2,21,1,21.000000
69,8,3,3,26,1,26.000000
70,2,2,1,25,1,25.000000
71,4,1,2,20,1,20.000000
72,3,1,1,16,1,16.000000
73,4,1,1,18,1,18.000000
74,2,1,1,23,1,23.000000
75,3,0,0,22,1,22.000000
76,4,2,2,19,1,19.000000
77,2,0,0,23,1,23.000000
78,1,0,1,31,1,31.000000
79,3,1,1,10,1,10.000000
80,2,2,2,20,1,20.000000
81,5,2,2,28,1,28.000000
82,4,3,3,25,1,25.000000
83,4,1,1,16,1,16.000000
84,2,2,2,43,1,43.000000
85,1,2,2,25,1,25.000000
86,3,2,2,12,1,12.000000
87,2,1,1,20,1,20.000000
88,1,0,0,14,1,14.000000
89,4,2,2,26,1,26.000000
90,3,1,1,11,1,11.000000
91,3,2,2,15,1,15.000000
92,6,3,3,24,1,24.000000
93,6,1,0,32,1,32.000000
94,3,2,2,20,1,20.000000
95,2,1,1,37,1,37.000000
96,4,1,1,15,1,15.000000
97,5,1,1,18,1,18.000000
98,6,2,2,35,1,35.000000
99,2,2,2,33,1,33.000000
100,1,0,1,24,1,24.000000
